Robert_Aderholt^&^&^2013-06-21 15:50:11^&^&^
Robert_Aderholt^&^&^2013-05-20 14:52:58^&^&^
Robert_Aderholt^&^&^2013-05-20 14:17:10^&^&^
Robert_Aderholt^&^&^2013-05-17 14:34:54^&^&^
Robert_Aderholt^&^&^2013-05-16 22:31:12^&^&^
Robert_Aderholt^&^&^2013-05-16 21:59:00^&^&^
Robert_Aderholt^&^&^2013-05-16 21:58:29^&^&^
Robert_Aderholt^&^&^2013-05-16 17:14:56^&^&^
Robert_Aderholt^&^&^2013-05-16 15:11:55^&^&^
Robert_Aderholt^&^&^2013-05-16 13:42:37^&^&^
Robert_Aderholt^&^&^2013-05-15 19:13:33^&^&^
Robert_Aderholt^&^&^2013-05-15 15:25:30^&^&^
Robert_Aderholt^&^&^2013-05-15 13:51:06^&^&^
Robert_Aderholt^&^&^2013-05-14 20:31:06^&^&^
Robert_Aderholt^&^&^2013-05-14 17:34:31^&^&^
Robert_Aderholt^&^&^2013-05-14 13:42:23^&^&^
Robert_Aderholt^&^&^2013-05-13 19:42:02^&^&^
Robert_Aderholt^&^&^2013-05-13 17:07:17^&^&^
Robert_Aderholt^&^&^2013-05-13 14:11:25^&^&^
Robert_Aderholt^&^&^2013-05-12 12:16:09^&^&^
Robert_Aderholt^&^&^2013-05-10 18:09:07^&^&^
Robert_Aderholt^&^&^2013-05-10 12:45:10^&^&^
Robert_Aderholt^&^&^2013-05-10 12:00:13^&^&^
Robert_Aderholt^&^&^2013-05-09 15:08:38^&^&^
Robert_Aderholt^&^&^2013-05-09 14:54:15^&^&^
Robert_Aderholt^&^&^2013-05-08 15:00:38^&^&^
Robert_Aderholt^&^&^2013-05-08 13:11:52^&^&^
Robert_Aderholt^&^&^2013-05-06 18:04:35^&^&^
Robert_Aderholt^&^&^2013-05-06 13:37:12^&^&^
Robert_Aderholt^&^&^2013-05-06 13:17:28^&^&^
Robert_Aderholt^&^&^2013-05-03 18:19:04^&^&^
Robert_Aderholt^&^&^2013-05-02 13:36:53^&^&^
Robert_Aderholt^&^&^2013-05-01 15:43:12^&^&^
Robert_Aderholt^&^&^2013-04-30 16:33:25^&^&^
Robert_Aderholt^&^&^2013-04-30 15:41:16^&^&^
Robert_Aderholt^&^&^2013-04-29 18:00:16^&^&^
Robert_Aderholt^&^&^2013-04-26 16:34:39^&^&^
Robert_Aderholt^&^&^2013-04-26 14:53:11^&^&^
Robert_Aderholt^&^&^2013-04-26 13:41:43^&^&^
Robert_Aderholt^&^&^2013-04-25 19:32:23^&^&^
Robert_Aderholt^&^&^2013-04-25 14:08:30^&^&^
Robert_Aderholt^&^&^2013-04-24 20:55:44^&^&^
Robert_Aderholt^&^&^2013-04-24 16:37:06^&^&^
Robert_Aderholt^&^&^2013-04-24 14:59:12^&^&^
Robert_Aderholt^&^&^2013-04-23 18:36:57^&^&^
Robert_Aderholt^&^&^2013-04-23 13:14:03^&^&^
Robert_Aderholt^&^&^2013-04-22 15:23:21^&^&^
Robert_Aderholt^&^&^2013-04-19 16:46:06^&^&^
Robert_Aderholt^&^&^2013-04-19 14:37:58^&^&^
Robert_Aderholt^&^&^2013-04-19 13:06:26^&^&^
Robert_Aderholt^&^&^2013-04-18 17:49:45^&^&^
Robert_Aderholt^&^&^2013-04-18 13:36:39^&^&^
Robert_Aderholt^&^&^2013-04-18 13:35:58^&^&^
Robert_Aderholt^&^&^2013-04-18 13:35:09^&^&^
Robert_Aderholt^&^&^2013-04-18 11:20:20^&^&^
Robert_Aderholt^&^&^2013-04-18 10:50:27^&^&^
Robert_Aderholt^&^&^2013-04-17 13:21:16^&^&^
Robert_Aderholt^&^&^2013-04-17 13:20:43^&^&^
Robert_Aderholt^&^&^2013-04-16 17:08:38^&^&^
Robert_Aderholt^&^&^2013-04-16 15:34:37^&^&^
Robert_Aderholt^&^&^2013-04-16 13:20:52^&^&^
Robert_Aderholt^&^&^2013-04-15 19:57:19^&^&^
Robert_Aderholt^&^&^2013-04-15 19:25:52^&^&^
Robert_Aderholt^&^&^2013-04-15 16:16:24^&^&^
Robert_Aderholt^&^&^2013-04-15 15:45:27^&^&^
Robert_Aderholt^&^&^2013-04-15 14:48:23^&^&^
Robert_Aderholt^&^&^2013-04-15 14:44:05^&^&^
Robert_Aderholt^&^&^2013-04-15 14:05:31^&^&^
Robert_Aderholt^&^&^2013-04-12 19:35:48^&^&^
Robert_Aderholt^&^&^2013-04-12 16:42:11^&^&^
Robert_Aderholt^&^&^2013-04-12 15:53:49^&^&^
Robert_Aderholt^&^&^2013-04-12 14:30:45^&^&^
Robert_Aderholt^&^&^2013-04-12 13:55:22^&^&^
Robert_Aderholt^&^&^2013-04-11 19:52:00^&^&^
Robert_Aderholt^&^&^2013-04-10 17:20:40^&^&^
Robert_Aderholt^&^&^2013-04-10 17:10:44^&^&^
Robert_Aderholt^&^&^2013-04-10 14:06:44^&^&^
Robert_Aderholt^&^&^2013-04-09 13:23:00^&^&^
Robert_Aderholt^&^&^2013-04-08 14:31:16^&^&^
Robert_Aderholt^&^&^2013-04-08 13:37:12^&^&^
Robert_Aderholt^&^&^2013-04-05 14:03:10^&^&^
Robert_Aderholt^&^&^2013-04-03 14:17:26^&^&^
Robert_Aderholt^&^&^2013-03-28 13:10:03^&^&^
Robert_Aderholt^&^&^2013-03-21 15:53:09^&^&^
Robert_Aderholt^&^&^2013-03-21 13:55:07^&^&^
Robert_Aderholt^&^&^2013-03-21 12:54:10^&^&^
Robert_Aderholt^&^&^2013-03-20 19:57:36^&^&^
Robert_Aderholt^&^&^2013-03-19 18:33:26^&^&^
Robert_Aderholt^&^&^2013-03-19 18:32:58^&^&^
Robert_Aderholt^&^&^2013-03-19 13:30:44^&^&^
Robert_Aderholt^&^&^2013-03-15 19:05:33^&^&^
Robert_Aderholt^&^&^2013-03-15 17:51:23^&^&^
Robert_Aderholt^&^&^2013-03-15 15:15:11^&^&^
Robert_Aderholt^&^&^2013-03-15 15:11:19^&^&^
Robert_Aderholt^&^&^2013-03-15 13:53:45^&^&^
Robert_Aderholt^&^&^2013-03-14 18:38:37^&^&^
Robert_Aderholt^&^&^2013-03-14 17:01:48^&^&^
Robert_Aderholt^&^&^2013-03-14 16:46:03^&^&^
Robert_Aderholt^&^&^2013-03-14 14:17:08^&^&^
Robert_Aderholt^&^&^2013-03-14 13:39:45^&^&^
Robert_Aderholt^&^&^2013-03-13 20:05:14^&^&^
Robert_Aderholt^&^&^2013-03-13 14:22:19^&^&^
Robert_Aderholt^&^&^2013-03-13 14:00:08^&^&^
Robert_Aderholt^&^&^2013-03-13 13:55:04^&^&^
Robert_Aderholt^&^&^2013-03-13 13:15:12^&^&^
Robert_Aderholt^&^&^2013-03-12 14:01:20^&^&^
Robert_Aderholt^&^&^2013-03-11 21:30:20^&^&^
Robert_Aderholt^&^&^2013-03-11 18:35:28^&^&^
Robert_Aderholt^&^&^2013-03-08 13:11:16^&^&^
Robert_Aderholt^&^&^2013-03-07 16:50:03^&^&^
Robert_Aderholt^&^&^2013-03-07 15:30:16^&^&^
Robert_Aderholt^&^&^2013-03-06 19:08:50^&^&^
Robert_Aderholt^&^&^2013-03-06 17:10:35^&^&^
Robert_Aderholt^&^&^2013-03-05 14:54:38^&^&^
Robert_Aderholt^&^&^2013-03-04 15:08:24^&^&^
Robert_Aderholt^&^&^2013-02-28 13:03:54^&^&^
Robert_Aderholt^&^&^2013-02-27 15:46:17^&^&^
Robert_Aderholt^&^&^2013-02-27 14:33:50^&^&^
Robert_Aderholt^&^&^2013-02-26 15:11:28^&^&^
Robert_Aderholt^&^&^2013-02-25 17:47:50^&^&^
Robert_Aderholt^&^&^2013-02-25 17:18:22^&^&^
Robert_Aderholt^&^&^2013-02-22 16:58:12^&^&^
Robert_Aderholt^&^&^2013-02-21 16:08:47^&^&^
Robert_Aderholt^&^&^2013-02-21 16:08:31^&^&^
Robert_Aderholt^&^&^2013-02-20 14:19:07^&^&^
Robert_Aderholt^&^&^2013-02-19 14:17:24^&^&^
Robert_Aderholt^&^&^2013-02-15 15:46:40^&^&^
Robert_Aderholt^&^&^2013-02-13 21:40:21^&^&^
Robert_Aderholt^&^&^2013-02-13 15:25:50^&^&^
Robert_Aderholt^&^&^2013-02-13 14:50:05^&^&^
Robert_Aderholt^&^&^2013-02-13 12:15:27^&^&^
Robert_Aderholt^&^&^2013-02-13 11:45:21^&^&^
Robert_Aderholt^&^&^2013-02-12 22:26:01^&^&^
Robert_Aderholt^&^&^2013-02-12 18:20:53^&^&^
Robert_Aderholt^&^&^2013-02-12 14:15:57^&^&^
Robert_Aderholt^&^&^2013-02-12 14:15:06^&^&^
Robert_Aderholt^&^&^2013-02-06 17:12:17^&^&^
Robert_Aderholt^&^&^2013-02-06 15:06:53^&^&^
Robert_Aderholt^&^&^2013-02-05 14:45:42^&^&^
Robert_Aderholt^&^&^2013-02-04 19:15:32^&^&^
Robert_Aderholt^&^&^2013-02-04 16:55:27^&^&^
Robert_Aderholt^&^&^2013-01-30 14:09:03^&^&^
Robert_Aderholt^&^&^2013-01-28 20:38:16^&^&^
Robert_Aderholt^&^&^2013-01-25 21:38:43^&^&^
Robert_Aderholt^&^&^2013-01-25 14:42:52^&^&^
Robert_Aderholt^&^&^2013-01-23 21:14:39^&^&^
Robert_Aderholt^&^&^2013-01-23 16:28:16^&^&^
Robert_Aderholt^&^&^2013-01-22 20:07:35^&^&^
Robert_Aderholt^&^&^2013-01-22 15:20:40^&^&^
Robert_Aderholt^&^&^2013-01-18 19:36:08^&^&^
Robert_Aderholt^&^&^2013-01-09 18:29:18^&^&^
Robert_Aderholt^&^&^2013-01-08 14:30:35^&^&^
Robert_Aderholt^&^&^2013-01-03 21:37:38^&^&^
Robert_Aderholt^&^&^2013-01-03 16:46:12^&^&^
Robert_Aderholt^&^&^2013-01-03 15:49:57^&^&^
Robert_Aderholt^&^&^2012-12-18 20:55:01^&^&^
Robert_Aderholt^&^&^2012-12-18 18:44:00^&^&^
Robert_Aderholt^&^&^2012-12-17 19:36:53^&^&^
Robert_Aderholt^&^&^2012-12-11 15:45:01^&^&^
Robert_Aderholt^&^&^2012-12-10 19:03:08^&^&^
Robert_Aderholt^&^&^2012-12-07 14:00:42^&^&^
Robert_Aderholt^&^&^2012-12-07 14:00:07^&^&^
Robert_Aderholt^&^&^2012-12-06 17:37:56^&^&^
Robert_Aderholt^&^&^2012-12-05 17:03:11^&^&^
senalexander^&^&^2013-06-21 12:10:31^&^&^
senalexander^&^&^2013-06-21 10:55:13^&^&^
senalexander^&^&^2013-06-21 10:54:18^&^&^
senalexander^&^&^2013-06-20 20:51:26^&^&^
senalexander^&^&^2013-06-20 20:33:19^&^&^
senalexander^&^&^2013-06-20 18:03:31^&^&^
senalexander^&^&^2013-06-20 14:53:54^&^&^
senalexander^&^&^2013-06-20 14:53:51^&^&^
senalexander^&^&^2013-06-19 22:57:33^&^&^
senalexander^&^&^2013-06-19 22:21:01^&^&^
senalexander^&^&^2013-06-18 16:14:05^&^&^
senalexander^&^&^2013-06-18 14:32:38^&^&^
senalexander^&^&^2013-06-18 14:26:51^&^&^
senalexander^&^&^2013-06-18 14:25:23^&^&^
senalexander^&^&^2013-06-18 14:24:15^&^&^
senalexander^&^&^2013-06-18 14:20:54^&^&^
senalexander^&^&^2013-06-15 13:35:59^&^&^
senalexander^&^&^2013-06-15 12:36:54^&^&^
senalexander^&^&^2013-06-15 12:06:35^&^&^
senalexander^&^&^2013-06-15 10:33:16^&^&^
senalexander^&^&^2013-06-14 17:44:07^&^&^
senalexander^&^&^2013-06-13 00:41:22^&^&^
senalexander^&^&^2013-06-12 22:25:58^&^&^
senalexander^&^&^2013-06-12 22:17:49^&^&^
senalexander^&^&^2013-06-12 18:03:55^&^&^
senalexander^&^&^2013-06-12 16:46:39^&^&^
senalexander^&^&^2013-06-11 23:02:49^&^&^
senalexander^&^&^2013-06-11 23:01:17^&^&^
senalexander^&^&^2013-06-10 20:55:00^&^&^
senalexander^&^&^2013-06-06 18:34:56^&^&^
senalexander^&^&^2013-06-06 18:34:03^&^&^
senalexander^&^&^2013-06-06 14:37:52^&^&^
senalexander^&^&^2013-06-06 14:14:31^&^&^
senalexander^&^&^2013-06-06 13:34:20^&^&^
senalexander^&^&^2013-06-04 20:02:33^&^&^
senalexander^&^&^2013-06-04 17:05:14^&^&^
senalexander^&^&^2013-06-04 13:55:30^&^&^
senalexander^&^&^2013-06-04 12:37:39^&^&^
senalexander^&^&^2013-06-03 22:51:55^&^&^
senalexander^&^&^2013-06-03 21:01:52^&^&^
senalexander^&^&^2013-06-01 03:16:17^&^&^
senalexander^&^&^2013-05-31 23:35:39^&^&^
senalexander^&^&^2013-05-31 23:33:49^&^&^
senalexander^&^&^2013-05-31 23:31:05^&^&^
senalexander^&^&^2013-05-31 21:23:21^&^&^
senalexander^&^&^2013-05-31 21:05:40^&^&^
senalexander^&^&^2013-05-31 15:57:07^&^&^
senalexander^&^&^2013-05-31 14:35:16^&^&^
senalexander^&^&^2013-05-31 13:17:24^&^&^
senalexander^&^&^2013-05-30 20:44:20^&^&^
senalexander^&^&^2013-05-30 18:59:24^&^&^
senalexander^&^&^2013-05-30 16:05:18^&^&^
senalexander^&^&^2013-05-30 13:08:24^&^&^
senalexander^&^&^2013-05-27 15:05:33^&^&^
senalexander^&^&^2013-05-27 13:17:01^&^&^
senalexander^&^&^2013-05-27 12:57:11^&^&^
senalexander^&^&^2013-05-23 14:11:38^&^&^
senalexander^&^&^2013-05-22 14:50:14^&^&^
senalexander^&^&^2013-05-22 13:46:31^&^&^
senalexander^&^&^2013-05-21 19:40:26^&^&^
senalexander^&^&^2013-05-20 19:00:43^&^&^
senalexander^&^&^2013-05-18 11:53:39^&^&^
senalexander^&^&^2013-05-18 11:49:12^&^&^
senalexander^&^&^2013-05-18 11:44:04^&^&^
senalexander^&^&^2013-05-18 11:37:48^&^&^
senalexander^&^&^2013-05-17 02:01:38^&^&^
senalexander^&^&^2013-05-16 14:39:04^&^&^
senalexander^&^&^2013-05-16 14:15:45^&^&^
senalexander^&^&^2013-05-15 21:39:44^&^&^
senalexander^&^&^2013-05-15 18:35:49^&^&^
senalexander^&^&^2013-05-15 17:56:22^&^&^
senalexander^&^&^2013-05-15 17:26:56^&^&^
senalexander^&^&^2013-05-15 15:00:37^&^&^
senalexander^&^&^2013-05-15 02:24:25^&^&^
senalexander^&^&^2013-05-15 02:18:37^&^&^
senalexander^&^&^2013-05-14 21:39:23^&^&^
senalexander^&^&^2013-05-14 01:10:15^&^&^
senalexander^&^&^2013-05-14 01:05:13^&^&^
senalexander^&^&^2013-05-13 21:08:28^&^&^
senalexander^&^&^2013-05-13 21:08:05^&^&^
senalexander^&^&^2013-05-13 21:04:10^&^&^
senalexander^&^&^2013-05-13 21:01:23^&^&^
senalexander^&^&^2013-05-13 20:48:53^&^&^
senalexander^&^&^2013-05-13 18:33:47^&^&^
senalexander^&^&^2013-05-13 16:35:54^&^&^
senalexander^&^&^2013-05-12 14:25:54^&^&^
senalexander^&^&^2013-05-12 14:23:29^&^&^
senalexander^&^&^2013-05-11 19:12:40^&^&^
senalexander^&^&^2013-05-11 17:57:05^&^&^
senalexander^&^&^2013-05-10 23:25:23^&^&^
senalexander^&^&^2013-05-10 18:01:58^&^&^
senalexander^&^&^2013-05-10 16:04:20^&^&^
senalexander^&^&^2013-05-09 20:45:35^&^&^
senalexander^&^&^2013-05-09 13:22:51^&^&^
senalexander^&^&^2013-05-08 22:20:02^&^&^
senalexander^&^&^2013-05-08 20:59:27^&^&^
senalexander^&^&^2013-05-07 18:32:50^&^&^
senalexander^&^&^2013-05-06 23:47:25^&^&^
senalexander^&^&^2013-05-06 23:45:52^&^&^
senalexander^&^&^2013-05-06 22:06:15^&^&^
senalexander^&^&^2013-05-02 18:46:02^&^&^
senalexander^&^&^2013-05-02 18:43:42^&^&^
senalexander^&^&^2013-05-02 18:43:12^&^&^
senalexander^&^&^2013-05-02 17:46:27^&^&^
senalexander^&^&^2013-05-01 15:25:17^&^&^
senalexander^&^&^2013-04-30 21:18:32^&^&^
senalexander^&^&^2013-04-26 14:36:51^&^&^
senalexander^&^&^2013-04-25 23:40:38^&^&^
senalexander^&^&^2013-04-25 13:45:14^&^&^
senalexander^&^&^2013-04-17 22:25:36^&^&^
senalexander^&^&^2013-04-17 22:09:21^&^&^
senalexander^&^&^2013-04-17 20:48:31^&^&^
senalexander^&^&^2013-04-17 20:36:18^&^&^
senalexander^&^&^2013-04-13 15:50:49^&^&^
senalexander^&^&^2013-04-12 17:21:13^&^&^
senalexander^&^&^2013-04-12 17:13:25^&^&^
senalexander^&^&^2013-04-11 21:51:17^&^&^
senalexander^&^&^2013-04-08 17:09:56^&^&^
senalexander^&^&^2013-04-05 16:06:30^&^&^
senalexander^&^&^2013-03-27 18:07:15^&^&^
senalexander^&^&^2013-03-23 03:37:19^&^&^
senalexander^&^&^2013-03-22 23:35:34^&^&^
senalexander^&^&^2013-03-22 22:47:43^&^&^
senalexander^&^&^2013-03-22 22:40:12^&^&^
senalexander^&^&^2013-03-22 03:16:39^&^&^
senalexander^&^&^2013-03-21 22:45:58^&^&^
senalexander^&^&^2013-03-21 22:45:51^&^&^
senalexander^&^&^2013-03-21 22:45:41^&^&^
senalexander^&^&^2013-03-21 22:45:31^&^&^
senalexander^&^&^2013-03-21 22:45:25^&^&^
senalexander^&^&^2013-03-18 21:32:35^&^&^
senalexander^&^&^2013-03-12 20:45:51^&^&^
senalexander^&^&^2013-03-08 16:19:06^&^&^
senalexander^&^&^2013-03-05 13:20:41^&^&^
senalexander^&^&^2013-03-03 19:09:25^&^&^
senalexander^&^&^2013-03-03 17:10:37^&^&^
senalexander^&^&^2013-03-03 17:09:06^&^&^
senalexander^&^&^2013-03-03 17:07:09^&^&^
senalexander^&^&^2013-03-02 22:09:57^&^&^
senalexander^&^&^2013-03-01 21:26:34^&^&^
senalexander^&^&^2013-02-28 23:16:53^&^&^
senalexander^&^&^2013-02-28 21:51:22^&^&^
senalexander^&^&^2013-02-28 00:12:01^&^&^
senalexander^&^&^2013-02-23 14:17:59^&^&^
senalexander^&^&^2013-02-22 22:39:37^&^&^
senalexander^&^&^2013-02-21 19:19:56^&^&^
senalexander^&^&^2013-02-21 19:05:53^&^&^
senalexander^&^&^2013-02-20 01:12:39^&^&^
senalexander^&^&^2013-02-20 01:07:40^&^&^
senalexander^&^&^2013-02-20 00:41:34^&^&^
senalexander^&^&^2013-02-16 12:43:16^&^&^
senalexander^&^&^2013-02-16 12:39:09^&^&^
senalexander^&^&^2013-02-15 22:31:04^&^&^
senalexander^&^&^2013-02-14 22:54:32^&^&^
senalexander^&^&^2013-02-14 20:13:19^&^&^
senalexander^&^&^2013-02-13 23:00:02^&^&^
senalexander^&^&^2013-02-13 04:13:44^&^&^
senalexander^&^&^2013-02-12 23:04:13^&^&^
senalexander^&^&^2013-02-12 19:42:19^&^&^
senalexander^&^&^2013-02-07 19:43:44^&^&^
senalexander^&^&^2013-02-05 19:56:14^&^&^
senalexander^&^&^2013-02-01 22:04:13^&^&^
senalexander^&^&^2013-02-01 20:25:14^&^&^
senalexander^&^&^2013-01-30 16:16:48^&^&^
senalexander^&^&^2013-01-30 14:15:04^&^&^
senalexander^&^&^2013-01-30 13:41:18^&^&^
senalexander^&^&^2013-01-30 03:48:21^&^&^
senalexander^&^&^2013-01-29 19:30:14^&^&^
senalexander^&^&^2013-01-29 19:29:06^&^&^
senalexander^&^&^2013-01-29 12:17:09^&^&^
senalexander^&^&^2013-01-28 22:52:08^&^&^
senalexander^&^&^2013-01-28 19:44:58^&^&^
senalexander^&^&^2013-01-28 19:43:44^&^&^
senalexander^&^&^2013-01-28 19:41:18^&^&^
senalexander^&^&^2013-01-25 17:50:42^&^&^
senalexander^&^&^2013-01-25 16:02:47^&^&^
senalexander^&^&^2013-01-25 12:58:23^&^&^
senalexander^&^&^2013-01-24 19:08:15^&^&^
senalexander^&^&^2013-01-23 14:23:37^&^&^
senalexander^&^&^2013-01-19 15:36:31^&^&^
senalexander^&^&^2013-01-18 17:03:16^&^&^
senalexander^&^&^2013-01-16 00:26:20^&^&^
senalexander^&^&^2013-01-09 18:29:02^&^&^
senalexander^&^&^2013-01-09 18:28:29^&^&^
senalexander^&^&^2013-01-09 16:49:53^&^&^
senalexander^&^&^2013-01-04 13:14:33^&^&^
senalexander^&^&^2013-01-04 12:52:49^&^&^
senalexander^&^&^2013-01-04 12:39:52^&^&^
senalexander^&^&^2013-01-04 12:37:33^&^&^
senalexander^&^&^2013-01-04 12:36:00^&^&^
senalexander^&^&^2013-01-04 12:33:18^&^&^
senalexander^&^&^2013-01-04 11:50:19^&^&^
senalexander^&^&^2012-12-28 18:49:41^&^&^
senalexander^&^&^2012-12-28 16:28:34^&^&^
senalexander^&^&^2012-12-19 15:48:33^&^&^
senalexander^&^&^2012-12-19 15:47:54^&^&^
senalexander^&^&^2012-12-18 18:57:05^&^&^
senalexander^&^&^2012-12-17 23:37:30^&^&^
senalexander^&^&^2012-12-14 15:17:18^&^&^
senalexander^&^&^2012-12-11 23:22:37^&^&^
USRepAlexander^&^&^2013-06-18 14:22:11^&^&^
USRepAlexander^&^&^2013-06-18 14:19:59^&^&^
USRepAlexander^&^&^2013-06-12 18:05:36^&^&^
USRepAlexander^&^&^2013-06-12 18:03:27^&^&^
USRepAlexander^&^&^2013-06-04 14:46:28^&^&^
USRepAlexander^&^&^2013-05-29 14:26:21^&^&^
USRepAlexander^&^&^2013-05-27 15:44:37^&^&^
USRepAlexander^&^&^2013-05-22 23:06:55^&^&^
USRepAlexander^&^&^2013-05-22 23:05:25^&^&^
USRepAlexander^&^&^2013-05-22 18:23:55^&^&^
USRepAlexander^&^&^2013-05-22 18:17:15^&^&^
USRepAlexander^&^&^2013-05-22 13:46:51^&^&^
USRepAlexander^&^&^2013-05-21 18:42:54^&^&^
USRepAlexander^&^&^2013-05-21 16:50:32^&^&^
USRepAlexander^&^&^2013-05-16 21:16:11^&^&^
USRepAlexander^&^&^2013-05-16 19:55:08^&^&^
USRepAlexander^&^&^2013-05-16 14:12:26^&^&^
USRepAlexander^&^&^2013-05-15 17:06:09^&^&^
USRepAlexander^&^&^2013-05-15 16:02:07^&^&^
USRepAlexander^&^&^2013-05-15 15:58:11^&^&^
USRepAlexander^&^&^2013-05-07 19:54:15^&^&^
USRepAlexander^&^&^2013-05-06 18:35:31^&^&^
USRepAlexander^&^&^2013-05-06 14:22:57^&^&^
USRepAlexander^&^&^2013-04-25 15:04:10^&^&^
USRepAlexander^&^&^2013-04-25 15:03:05^&^&^
USRepAlexander^&^&^2013-04-19 16:03:22^&^&^
USRepAlexander^&^&^2013-04-16 15:03:22^&^&^
USRepAlexander^&^&^2013-04-16 14:27:11^&^&^
USRepAlexander^&^&^2013-04-15 13:35:08^&^&^
USRepAlexander^&^&^2013-04-12 18:13:12^&^&^
USRepAlexander^&^&^2013-04-10 15:39:33^&^&^
USRepAlexander^&^&^2013-03-27 14:20:14^&^&^
USRepAlexander^&^&^2013-03-21 15:09:21^&^&^
USRepAlexander^&^&^2013-03-14 14:59:00^&^&^
USRepAlexander^&^&^2013-03-13 19:10:42^&^&^
USRepAlexander^&^&^2013-03-11 13:45:22^&^&^
USRepAlexander^&^&^2013-03-06 19:30:47^&^&^
USRepAlexander^&^&^2013-03-06 14:39:37^&^&^
USRepAlexander^&^&^2013-03-04 21:02:58^&^&^
USRepAlexander^&^&^2013-03-04 20:59:33^&^&^
USRepAlexander^&^&^2013-02-27 17:23:47^&^&^
USRepAlexander^&^&^2013-02-13 14:27:11^&^&^
USRepAlexander^&^&^2013-02-04 15:40:15^&^&^
USRepAlexander^&^&^2013-01-16 17:24:45^&^&^
USRepAlexander^&^&^2013-01-16 17:24:05^&^&^
USRepAlexander^&^&^2013-01-16 14:06:18^&^&^
USRepAlexander^&^&^2013-01-16 14:04:58^&^&^
USRepAlexander^&^&^2013-01-07 15:47:15^&^&^
USRepAlexander^&^&^2012-12-05 19:58:12^&^&^
USRepAlexander^&^&^2012-12-05 19:56:07^&^&^
USRepAlexander^&^&^2012-11-20 15:09:21^&^&^
USRepAlexander^&^&^2012-10-09 14:40:04^&^&^
USRepAlexander^&^&^2012-09-21 14:29:04^&^&^
USRepAlexander^&^&^2012-09-17 14:12:29^&^&^
USRepAlexander^&^&^2012-08-27 15:06:41^&^&^
USRepAlexander^&^&^2012-08-09 15:05:51^&^&^
USRepAlexander^&^&^2012-08-09 15:04:57^&^&^
USRepAlexander^&^&^2012-08-09 12:39:13^&^&^
USRepAlexander^&^&^2012-07-25 19:07:57^&^&^
USRepAlexander^&^&^2012-07-25 19:00:33^&^&^
USRepAlexander^&^&^2012-07-24 18:29:37^&^&^
USRepAlexander^&^&^2012-07-19 19:38:39^&^&^
USRepAlexander^&^&^2012-07-17 18:24:35^&^&^
USRepAlexander^&^&^2012-07-11 20:07:31^&^&^
USRepAlexander^&^&^2012-07-10 20:25:20^&^&^
USRepAlexander^&^&^2012-07-09 18:56:01^&^&^
USRepAlexander^&^&^2012-07-04 15:07:02^&^&^
USRepAlexander^&^&^2012-06-28 20:03:12^&^&^
USRepAlexander^&^&^2012-06-28 19:59:41^&^&^
USRepAlexander^&^&^2012-06-28 15:52:27^&^&^
USRepAlexander^&^&^2012-06-21 13:19:59^&^&^
USRepAlexander^&^&^2012-06-19 13:52:31^&^&^
